Year,Executive oversight,Executive oversight CI (Low),Executive oversight CI (High),Legislative constraints on the executive index,Legislative constraints on the executive index CI (Low),Legislative constraints on the executive index CI (High),Legislative electoral regime index,Legislative electoral regime index CI (Low),Legislative electoral regime index CI (High),Legislature controls resources,Legislature controls resources CI (Low),Legislature controls resources CI (High),Legislature corrupt activities,Legislature corrupt activities CI (Low),Legislature corrupt activities CI (High),Legislature investigates in practice,Legislature investigates in practice CI (Low),Legislature investigates in practice CI (High),Legislature opposition parties,Legislature opposition parties CI (Low),Legislature opposition parties CI (High),Legislature questions officials in practice,Legislature questions officials in practice CI (Low),Legislature questions officials in practice CI (High)
2000,0.34,0.041,0.51,0.054,0.017,0.131,0,null,null,0.036,0,0.07,2.434,2.053,3.039,0.154,0,0.259,0.037,0,0.075,0.048,0,0.087
2001,0.34,0.041,0.51,0.054,0.017,0.131,0,null,null,0.036,0,0.07,2.434,2.053,3.039,0.154,0,0.259,0.037,0,0.075,0.048,0,0.087
2002,0.34,0.041,0.51,0.054,0.017,0.131,0,null,null,0.036,0,0.07,2.434,2.053,3.039,0.154,0,0.259,0.037,0,0.075,0.048,0,0.087
2003,0.34,0.041,0.51,0.054,0.017,0.131,0,null,null,0.036,0,0.07,2.434,2.053,3.039,0.154,0,0.259,0.037,0,0.075,0.048,0,0.087
2004,0.34,0.041,0.51,0.054,0.017,0.131,0,null,null,0.036,0,0.07,2.434,2.053,3.039,0.154,0,0.259,0.037,0,0.075,0.048,0,0.087
2005,0.411,0.098,0.595,0.069,0.027,0.147,0,null,null,0.063,0,0.107,2.331,2.06,2.916,0.245,0.028,0.359,0.026,0,0.053,0.034,0,0.061
2006,0.627,0.36,0.871,0.074,0.035,0.155,0,null,null,0.064,0,0.109,2.333,2.069,2.876,0.243,0.046,0.378,0.026,0,0.053,0.036,0,0.069
2007,0.422,0.114,0.632,0.06,0.026,0.128,0,null,null,0.065,0,0.11,2.333,2.069,2.876,0.243,0.046,0.378,0.026,0,0.053,0.035,0,0.062
2008,0.404,0.108,0.603,0.06,0.028,0.114,0,null,null,0.065,0,0.11,2.342,2.036,2.894,0.25,0.029,0.369,0.025,0,0.052,0.035,0,0.062
2009,0.404,0.108,0.603,0.06,0.028,0.114,0,null,null,0.065,0,0.11,2.342,2.036,2.894,0.25,0.029,0.369,0.025,0,0.052,0.035,0,0.062
2010,0.422,0.149,0.645,0.088,0.039,0.188,0,null,null,0.065,0,0.111,2.346,2.065,2.868,0.243,0.026,0.364,0.029,0,0.056,0.156,0.04,0.234
2011,0.409,0.093,0.611,0.058,0.023,0.117,0,null,null,0.068,0,0.112,2.266,1.966,2.698,0.243,0.026,0.364,0.029,0,0.056,0.032,0,0.063
2012,0.763,0.536,0.972,0.115,0.055,0.208,0,null,null,0.04,0,0.072,2.266,1.966,2.698,0.272,0.085,0.393,0.086,0,0.124,0.118,0.023,0.174
2013,0.411,0.037,0.584,0.07,0.031,0.135,0,null,null,0.081,0,0.134,2.288,1.978,2.87,0.278,0.034,0.415,0.033,0,0.064,0.029,0,0.059
2014,0.38,0.05,0.573,0.055,0.017,0.139,0,null,null,0.089,0,0.144,2.383,2.036,3.001,0.28,0.016,0.405,0.034,0,0.067,0.03,0,0.065
2015,0.38,0.05,0.573,0.069,0.026,0.154,0,null,null,0.089,0,0.144,2.383,2.036,3.001,0.283,0.012,0.409,0.034,0,0.067,0.031,0,0.063
2016,0.38,0.05,0.573,0.073,0.032,0.134,0,null,null,0.089,0,0.144,2.375,2.04,3.083,0.284,0.019,0.4,0.034,0,0.067,0.031,0,0.063
2017,0.371,0,0.526,0.071,0.029,0.16,0,null,null,0.04,0,0.079,2.396,2.064,3.091,0.329,0.069,0.499,0.037,0,0.074,0.03,0,0.061
2018,0.44,0.059,0.664,0.078,0.035,0.175,0,null,null,0.067,0,0.118,2.347,1.971,2.974,0.314,0.022,0.459,0.043,0,0.083,0.034,0,0.07
