Year,Executive oversight,Executive oversight CI (Low),Executive oversight CI (High),Legislative constraints on the executive index,Legislative constraints on the executive index CI (Low),Legislative constraints on the executive index CI (High),Legislative electoral regime index,Legislative electoral regime index CI (Low),Legislative electoral regime index CI (High),Legislature controls resources,Legislature controls resources CI (Low),Legislature controls resources CI (High),Legislature corrupt activities,Legislature corrupt activities CI (Low),Legislature corrupt activities CI (High),Legislature investigates in practice,Legislature investigates in practice CI (Low),Legislature investigates in practice CI (High),Legislature opposition parties,Legislature opposition parties CI (Low),Legislature opposition parties CI (High),Legislature questions officials in practice,Legislature questions officials in practice CI (Low),Legislature questions officials in practice CI (High)
2000,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2001,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2002,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2003,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2004,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2005,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2006,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2007,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2008,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2009,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2010,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2011,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2012,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2013,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2014,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2015,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2016,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2017,1.814,1.499,2.131,0.47,0.341,0.625,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,1.032,0.761,1.34,0.625,0.454,0.789,0.965,0.93,1
2018,2.034,1.648,2.361,0.44,0.285,0.599,1,null,null,0.705,0.586,0.954,3.348,3.054,3.707,0.89,0.569,1.215,0.491,0.251,0.671,0.965,0.93,1
