Year,Executive oversight,Executive oversight CI (Low),Executive oversight CI (High),Legislative constraints on the executive index,Legislative constraints on the executive index CI (Low),Legislative constraints on the executive index CI (High),Legislative electoral regime index,Legislative electoral regime index CI (Low),Legislative electoral regime index CI (High),Legislature controls resources,Legislature controls resources CI (Low),Legislature controls resources CI (High),Legislature corrupt activities,Legislature corrupt activities CI (Low),Legislature corrupt activities CI (High),Legislature investigates in practice,Legislature investigates in practice CI (Low),Legislature investigates in practice CI (High),Legislature opposition parties,Legislature opposition parties CI (Low),Legislature opposition parties CI (High),Legislature questions officials in practice,Legislature questions officials in practice CI (Low),Legislature questions officials in practice CI (High)
2000,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.074,0,0.128,2.591,1.544,3.013,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2001,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.074,0,0.128,2.591,1.544,3.013,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2002,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.074,0,0.128,2.591,1.544,3.013,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2003,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.074,0,0.128,2.591,1.544,3.013,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2004,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.074,0,0.128,2.591,1.544,3.013,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2005,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.074,0,0.128,2.591,1.544,3.013,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2006,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.074,0,0.128,2.591,1.544,3.013,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2007,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.074,0,0.128,2.591,1.544,3.013,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2008,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.074,0,0.128,2.591,1.544,3.013,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2009,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.074,0,0.128,2.591,1.544,3.013,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2010,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.074,0,0.128,2.591,1.544,3.013,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2011,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.074,0,0.128,2.591,1.544,3.013,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2012,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.074,0,0.128,2.473,1.378,2.851,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2013,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.052,0,0.102,2.473,1.378,2.851,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2014,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.052,0,0.102,2.473,1.378,2.851,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2015,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.052,0,0.102,2.473,1.378,2.851,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2016,0.924,0.577,1.36,0.049,0.021,0.109,1,null,null,0.052,0,0.102,2.473,1.378,2.851,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2017,0.306,0.001,0.471,0.037,0.013,0.082,1,null,null,0.052,0,0.102,2.473,1.378,2.851,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
2018,0.306,0.001,0.471,0.037,0.013,0.082,1,null,null,0.052,0,0.102,2.473,1.378,2.851,0.088,0,0.155,0.016,0,0.036,0.037,0,0.075
