Year,Executive oversight,Executive oversight CI (Low),Executive oversight CI (High),Legislative constraints on the executive index,Legislative constraints on the executive index CI (Low),Legislative constraints on the executive index CI (High),Legislative electoral regime index,Legislative electoral regime index CI (Low),Legislative electoral regime index CI (High),Legislature controls resources,Legislature controls resources CI (Low),Legislature controls resources CI (High),Legislature corrupt activities,Legislature corrupt activities CI (Low),Legislature corrupt activities CI (High),Legislature investigates in practice,Legislature investigates in practice CI (Low),Legislature investigates in practice CI (High),Legislature opposition parties,Legislature opposition parties CI (Low),Legislature opposition parties CI (High),Legislature questions officials in practice,Legislature questions officials in practice CI (Low),Legislature questions officials in practice CI (High)
2000,2.868,2.563,3.109,0.9,0.818,0.956,1,null,null,0.984,0.962,1,1.976,1.726,2.291,3.037,2.707,3.315,1.888,1.814,1.999,0.95,0.912,1
2001,2.868,2.563,3.109,0.9,0.818,0.956,1,null,null,0.984,0.962,1,1.976,1.726,2.291,3.037,2.707,3.315,1.888,1.814,1.999,0.95,0.912,1
2002,2.868,2.563,3.109,0.9,0.818,0.956,1,null,null,0.984,0.962,1,2.064,1.782,2.349,3.037,2.707,3.315,1.888,1.814,1.999,0.95,0.912,1
2003,2.868,2.563,3.109,0.9,0.818,0.956,1,null,null,0.984,0.962,1,2.281,1.995,2.583,3.037,2.707,3.315,1.888,1.814,1.999,0.95,0.912,1
2004,2.868,2.563,3.109,0.9,0.818,0.956,1,null,null,0.984,0.962,1,2.438,2.277,2.621,3.037,2.707,3.315,1.888,1.814,1.999,0.95,0.912,1
2005,2.868,2.563,3.109,0.9,0.818,0.956,1,null,null,0.984,0.962,1,2.438,2.277,2.621,3.037,2.707,3.315,1.888,1.814,1.999,0.95,0.912,1
2006,2.868,2.563,3.109,0.9,0.818,0.956,1,null,null,0.984,0.962,1,2.438,2.277,2.621,3.037,2.707,3.315,1.888,1.814,1.999,0.95,0.912,1
2007,2.868,2.563,3.109,0.9,0.818,0.956,1,null,null,0.984,0.962,1,2.438,2.277,2.621,3.037,2.707,3.315,1.888,1.814,1.999,0.95,0.912,1
2008,2.822,2.602,3.006,0.894,0.829,0.953,1,null,null,0.984,0.962,1,2.438,2.277,2.621,2.914,2.686,3.106,1.893,1.83,2,0.95,0.912,1
2009,2.822,2.602,3.006,0.894,0.829,0.953,1,null,null,0.984,0.962,1,2.438,2.277,2.621,2.914,2.686,3.106,1.893,1.83,2,0.95,0.912,1
2010,2.822,2.602,3.006,0.894,0.829,0.953,1,null,null,0.984,0.962,1,2.438,2.277,2.621,2.914,2.686,3.106,1.893,1.83,2,0.95,0.912,1
2011,2.822,2.602,3.006,0.894,0.829,0.953,1,null,null,0.984,0.962,1,2.438,2.277,2.621,2.914,2.686,3.106,1.893,1.83,2,0.95,0.912,1
2012,2.822,2.602,3.006,0.894,0.829,0.953,1,null,null,0.984,0.962,1,2.438,2.277,2.621,2.914,2.686,3.106,1.893,1.83,2,0.95,0.912,1
2013,2.65,2.357,2.951,0.833,0.721,0.911,1,null,null,0.974,0.94,1,2.732,2.41,3.037,2.988,2.637,3.281,1.596,1.406,1.891,0.948,0.901,1
2014,2.65,2.357,2.951,0.84,0.686,0.927,1,null,null,0.971,0.936,1,2.685,2.356,2.979,2.988,2.637,3.281,1.518,1.321,1.862,0.942,0.891,1
2015,2.65,2.357,2.951,0.84,0.686,0.927,1,null,null,0.971,0.936,1,2.685,2.356,2.979,2.988,2.637,3.281,1.518,1.321,1.862,0.942,0.891,1
2016,2.785,2.477,3.093,0.904,0.83,0.956,1,null,null,0.971,0.936,1,2.685,2.356,2.979,3.219,2.908,3.588,1.803,1.692,2,0.942,0.891,1
2017,3.21,2.899,3.605,0.886,0.787,0.945,1,null,null,0.975,0.942,1,2.703,2.38,3.007,3.24,2.909,3.606,1.539,1.311,1.856,0.937,0.884,1
2018,3.368,3.113,3.788,0.925,0.853,0.964,1,null,null,0.748,0.651,1,2.698,2.399,3.059,3.575,3.401,3.961,1.529,1.275,1.832,0.937,0.882,1
