country,year,csantimv,CSO anti-system movements CI (Low),CSO anti-system movements CI (High),engage,Engaged society CI (Low),Engaged society CI (High),online_content,Government capacity to regulate online content CI (Low),Government capacity to regulate online content CI (High),cybersecurity,Government cyber security capacity CI (Low),Government cyber security capacity CI (High),false_abroad,Government dissemination of false information abroad CI (Low),Government dissemination of false information abroad CI (High),false_domestic,Government dissemination of false information domestic CI (Low),Government dissemination of false information domestic CI (High),filtering,Government Internet filtering capacity CI (Low),Government Internet filtering capacity CI (High),filtering_pract,Government Internet filtering in practice CI (Low),Government Internet filtering in practice CI (High),shutdown,Government Internet shut down capacity CI (Low),Government Internet shut down capacity CI (High),shutdown_practice,Government Internet shut down in practice CI (Low),Government Internet shut down in practice CI (High),approach,Government online content regulation approach CI (Low),Government online content regulation approach CI (High),alternatives,Government social media alternatives CI (Low),Government social media alternatives CI (High),censorship,Government social media censorship in practice CI (Low),Government social media censorship in practice CI (High),monitoring,Government social media monitoring CI (Low),Government social media monitoring CI (High),socialmedia_shutdown,Government social media shut down in practice CI (Low),Government social media shut down in practice CI (High),Ideology,Ideology CI (Low),Ideology CI (High),fractionalization,Online media fractionalization CI (Low),Online media fractionalization CI (High),polarization,Polarization of society CI (Low),Polarization of society CI (High),organize,Use of social media to organize offline violence CI (Low),Use of social media to organize offline violence CI (High),oversight,Executive oversight CI (Low),Executive oversight CI (High),constraints,Legislative constraints on the executive index CI (Low),Legislative constraints on the executive index CI (High),resources,Legislature controls resources CI (Low),Legislature controls resources CI (High),corrupt,Legislature corrupt activities CI (Low),Legislature corrupt activities CI (High),investigates,Legislature investigates in practice CI (Low),Legislature investigates in practice CI (High),opposition,Legislature opposition parties CI (Low),Legislature opposition parties CI (High),questions,Legislature questions officials in practice CI (Low),Legislature questions officials in practice CI (High)
China,2000,0.454,0.232,0.631,1.694,1.341,2.013,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.185,1.903,2.442,1.237,0.903,1.567,3.73,3.599,3.997,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132,0.34,0.041,0.51,0.054,0.017,0.131,0.036,0,0.07,2.434,2.053,3.039,0.154,0,0.259,0.037,0,0.075,0.048,0,0.087
China,2001,0.454,0.232,0.631,1.853,1.496,2.189,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.185,1.903,2.442,1.237,0.903,1.567,3.73,3.599,3.997,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132,0.34,0.041,0.51,0.054,0.017,0.131,0.036,0,0.07,2.434,2.053,3.039,0.154,0,0.259,0.037,0,0.075,0.048,0,0.087
China,2002,0.454,0.232,0.631,2.107,1.731,2.461,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.185,1.903,2.442,1.237,0.903,1.567,3.73,3.599,3.997,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132,0.34,0.041,0.51,0.054,0.017,0.131,0.036,0,0.07,2.434,2.053,3.039,0.154,0,0.259,0.037,0,0.075,0.048,0,0.087
China,2003,0.454,0.232,0.631,2.178,1.802,2.535,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.185,1.903,2.442,1.237,0.903,1.567,3.73,3.6,3.999,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132,0.34,0.041,0.51,0.054,0.017,0.131,0.036,0,0.07,2.434,2.053,3.039,0.154,0,0.259,0.037,0,0.075,0.048,0,0.087
China,2004,0.454,0.232,0.631,2.328,1.985,2.745,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.185,1.903,2.442,1.237,0.903,1.567,3.723,3.59,3.996,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132,0.34,0.041,0.51,0.054,0.017,0.131,0.036,0,0.07,2.434,2.053,3.039,0.154,0,0.259,0.037,0,0.075,0.048,0,0.087
China,2005,0.454,0.232,0.631,2.264,1.932,2.519,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.185,1.903,2.442,1.237,0.903,1.567,3.718,3.592,4,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132,0.411,0.098,0.595,0.069,0.027,0.147,0.063,0,0.107,2.331,2.06,2.916,0.245,0.028,0.359,0.026,0,0.053,0.034,0,0.061
China,2006,0.511,0.294,0.708,2.373,2.068,2.654,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.285,2.001,2.535,1.15,0.846,1.511,3.86,3.764,4,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132,0.627,0.36,0.871,0.074,0.035,0.155,0.064,0,0.109,2.333,2.069,2.876,0.243,0.046,0.378,0.026,0,0.053,0.036,0,0.069
China,2007,0.511,0.294,0.708,2.496,2.191,2.793,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.285,2.001,2.535,1.15,0.846,1.511,3.86,3.764,4,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132,0.422,0.114,0.632,0.06,0.026,0.128,0.065,0,0.11,2.333,2.069,2.876,0.243,0.046,0.378,0.026,0,0.053,0.035,0,0.062
China,2008,0.684,0.463,0.875,2.508,2.228,2.818,3.058,2.75,3.402,3.271,2.893,3.575,1.213,0.803,1.583,1.62,1.348,1.985,2.285,2.001,2.535,1.154,0.785,1.452,3.86,3.764,4,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132,0.404,0.108,0.603,0.06,0.028,0.114,0.065,0,0.11,2.342,2.036,2.894,0.25,0.029,0.369,0.025,0,0.052,0.035,0,0.062
China,2009,0.684,0.463,0.875,2.519,2.236,2.815,3.058,2.75,3.402,3.271,2.893,3.575,1.19,0.81,1.562,1.617,1.321,1.943,2.285,2.001,2.535,1.154,0.785,1.452,3.864,3.766,4,1.994,1.581,2.461,1.397,1.16,1.666,1.706,1.39,2.071,2.59,2.36,2.88,0.838,0.555,1.193,1.822,1.42,2.236,null,null,null,3.552,3.309,3.891,1.899,1.501,2.291,0.968,0.815,1.132,0.404,0.108,0.603,0.06,0.028,0.114,0.065,0,0.11,2.342,2.036,2.894,0.25,0.029,0.369,0.025,0,0.052,0.035,0,0.062
